Port_IDs,PnL,ROI,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,ROI_normalized,PnL_normalized,Sharpe_Ratio_normalized,Win_Rate_normalized,Score,Rank
4031181049693676544,4546.57189156,49207899.74419431,0.24579124579124578,73,297,0.21639599593685288,22.344964960000084,1.0,0.2056905094759428,0.393829520046729,0.3146343080697566,0.5719364876591043,1.0
4020204877254599680,70638.37124428,-0.9999999995734847,0.3272597356198642,1832,5598,0.06217750408600999,21232.442004839933,0.0,1.0,0.19204759543441782,0.41892110577159863,0.3803016296640434,2.0
3999240873283311617,42220.47216521,-0.9924803254534897,0.5209334248455731,2277,4371,0.22963282111919278,300.81384848999915,1.52814365300519e-10,0.6584658435641275,0.411148792392049,0.6668403797257336,0.34645354958134716,3.0
3826087012661391104,532.65697373,-0.33963735219439284,0.5887850467289719,63,107,0.6796817803424965,12.925980130000028,1.3419850011728115e-08,0.15745017187561317,1.0,0.7536963946092966,0.32260469639155365,4.0
3986814617275053313,15847.59634446,108.81507158771541,0.7790560471976401,2641,3390,0.3341421077098678,2.3819474699994316,2.2316552814995915e-06,0.34150934121445986,0.5478904031745095,0.997259929126082,0.31175776857396065,5.0
3956048468100538880,1373.56489,-0.9854313722015483,0.7142857142857143,20,28,0.524861880311556,0.0,2.960627694254012e-10,0.16755643536203133,0.7974311833710359,0.9143482338230697,0.3011879907835487,6.0
4035430878731345664,2399.0087271899997,3390546.1453686478,0.47674418604651164,41,86,0.46064875042781783,0.0,0.06890249521096821,0.17988050249073026,0.7134137041581486,0.6102742862958628,0.2852353182928224,7.0
3891020560590657281,2805.66419055,1862.7028593059672,0.6690821256038647,277,414,0.4386903019167069,0.0,3.787405744036796e-05,0.18476780011439548,0.6846829213000353,0.8564836837598706,0.27803044229328894,8.0
4022641794255717633,2173.16818573,7275.403383326534,0.4354090758529314,2629,6038,0.5586949065499138,115.99559387999989,0.00014787063201806265,0.17716628851587066,0.8416988523639184,0.557361727295328,0.27728497800988494,9.0
3956076827719377409,16618.829175130002,6431453.979978577,0.5121314896947561,1963,3833,0.09958201842421191,635.0500145299998,0.13069964137288217,0.3507782302869996,0.24098825619286318,0.6555731323226089,0.27126829010608633,10.0
4039279455324236544,1023.49838734,-0.8223136619285301,0.5516129032258065,171,310,0.4792611044284996,0.0,3.6109310691519112e-09,0.16334923949052174,0.7377664038036336,0.7061127973459448,0.26716933378685015,11.0
4022565861939831809,13807.949796789999,1.4680346082131353,0.526148969889065,332,631,0.31341781782643646,385.0755536900001,5.015525089388834e-08,0.3169963059211904,0.5207744130703735,0.6735167338842517,0.26660546784095734,12.0
4039129759104249600,1243.08169114,-0.9791671442499417,0.4496124031007752,58,129,0.5235810668511214,0.0,4.2336403318324824e-10,0.16598825225575356,0.7957553466927352,0.5755432293521958,0.26650186811983834,13.0
3907081197088384000,16986.45633284,-0.9970902702340941,0.6094659579853202,2408,3951,0.21771824646892968,2062.986724930003,5.913134466996943e-11,0.3551964749588542,0.39555957364782474,0.7801697711628278,0.26368783435715654,14.0
4028701921959171840,15750.621513970002,0.8414025959021209,0.5008460236886633,296,591,0.2768618552013295,356.2999498200006,3.7420872819754655e-08,0.3403438709298776,0.4729440108532124,0.6411267480478512,0.26080465322274,15.0
4029422834086627072,2755.8733045199997,-0.9999999243755949,0.37755102040816324,37,98,0.5159371630582149,0.0,1.5281669948660862e-15,0.1841693995003622,0.7857539415410378,0.48329835216362255,0.26073144337467913,16.0
3943533600390906881,2343.40360854,3.3923869881855917,0.5439814814814815,940,1728,0.4290724124988129,32.30352141000003,8.926182424632905e-08,0.17921222482393995,0.6720987219983844,0.6963439095550693,0.2578178385070955,17.0
4017110277719148289,2855.87626248,2.863815472855524,0.5601659751037344,135,241,0.3976068224242479,0.0,7.852022569535997e-08,0.18537126265685136,0.6309286440906807,0.7170614779774281,0.25350328682102463,18.0
4041860229502600193,2327.33599982,-0.8008531599178487,0.4,38,95,0.462960701529535,0.0,4.04705010057012e-09,0.17901911986657282,0.7164386977066867,0.5120350109409191,0.24819697821422113,19.0
3886752488982104320,7122.138782,0.1337131178831714,0.7479201331114809,899,1202,0.2238635150030844,38.20810000000006,2.3039249801576122e-08,0.23664438339966481,0.4036001406200432,0.9574032338516768,0.2474536757447757,20.0
